"sec","date","open","high","low","close","volume","adjusted"
"273",2001-01-31,1.535714,1.607143,1.53125,1.544643,182676200,1.353152
"274",2001-02-01,1.477679,1.535714,1.464286,1.508929,92423800,1.321865
"275",2001-02-02,1.508929,1.566964,1.464286,1.473214,106835400,1.290578
"276",2001-02-05,1.464286,1.46875,1.410714,1.441964,71528800,1.263203
"277",2001-02-06,1.439729,1.5279,1.428571,1.508929,115677800,1.321865
"278",2001-02-07,1.475443,1.491071,1.415179,1.482143,98471800,1.2984
"279",2001-02-08,1.46875,1.504464,1.441964,1.482143,151032000,1.2984
"280",2001-02-09,1.464286,1.486607,1.334821,1.366071,147520800,1.196718
"281",2001-02-12,1.361607,1.428571,1.34375,1.40625,68530000,1.231916
"282",2001-02-13,1.424107,1.459821,1.357143,1.366071,59267600,1.196718
"283",2001-02-14,1.370536,1.401786,1.321429,1.392857,77280000,1.220183
"284",2001-02-15,1.40625,1.46875,1.40625,1.433036,77854000,1.255381
"285",2001-02-16,1.357143,1.392857,1.339286,1.357143,65977800,1.188897
"286",2001-02-20,1.370536,1.388393,1.299107,1.308036,78723400,1.145877
"287",2001-02-21,1.303571,1.424107,1.303571,1.348214,97564600,1.181075
"288",2001-02-22,1.361607,1.383929,1.285714,1.34375,107990400,1.177164
"289",2001-02-23,1.330357,1.348214,1.303571,1.34375,73466400,1.177164
"290",2001-02-26,1.361607,1.40625,1.325893,1.392857,51609600,1.220183
"291",2001-02-27,1.377229,1.388393,1.334821,1.383929,87129000,1.212362
"292",2001-02-28,1.383929,1.388393,1.294643,1.303571,127058400,1.141966
"293",2001-03-01,1.272321,1.339286,1.227679,1.339286,82615400,1.173253
"294",2001-03-02,1.308036,1.459821,1.303571,1.375,101550400,1.20454
"295",2001-03-05,1.383929,1.464286,1.375,1.455357,81043200,1.274935
"296",2001-03-06,1.479907,1.575893,1.477679,1.535714,182950600,1.345331
"297",2001-03-07,1.522321,1.544643,1.482143,1.517857,104885200,1.329687
"298",2001-03-08,1.477679,1.508929,1.459821,1.486607,51214800,1.302311
"299",2001-03-09,1.473214,1.477679,1.428571,1.446429,74783800,1.267114
"300",2001-03-12,1.40625,1.419643,1.294643,1.330357,97755000,1.165431
"301",2001-03-13,1.348214,1.397321,1.299107,1.397321,110832400,1.224094
"302",2001-03-14,1.321429,1.464286,1.316964,1.459821,119443800,1.278846
"303",2001-03-15,1.491071,1.526786,1.40625,1.40625,132329400,1.231916
"304",2001-03-16,1.357143,1.450893,1.348214,1.401786,117579000,1.228005
"305",2001-03-19,1.410714,1.473214,1.392857,1.46875,89002200,1.286668
"306",2001-03-20,1.479907,1.495536,1.40625,1.40625,124801600,1.231916
"307",2001-03-21,1.412943,1.491071,1.383929,1.4375,92843800,1.259292
"308",2001-03-22,1.455357,1.553571,1.441964,1.544643,180825400,1.353152
"309",2001-03-23,1.575893,1.683036,1.571429,1.642857,236222000,1.439191
"310",2001-03-26,1.652143,1.696429,1.509286,1.555714,183612800,1.362851
"311",2001-03-27,1.567143,1.646429,1.564286,1.633571,135955400,1.431056
"312",2001-03-28,1.577143,1.607143,1.535714,1.583571,146165600,1.387254
"313",2001-03-29,1.555,1.675,1.535714,1.609286,153266400,1.409781
"314",2001-03-30,1.610714,1.622857,1.524286,1.576429,100087400,1.380997
"315",2001-04-02,1.577857,1.618571,1.528571,1.542143,85227800,1.350962
"316",2001-04-03,1.525714,1.528571,1.437857,1.445714,92171800,1.266487
"317",2001-04-04,1.411429,1.446429,1.339286,1.392857,171371200,1.220183
"318",2001-04-05,1.471429,1.607143,1.428571,1.490714,111690600,1.305909
"319",2001-04-06,1.485714,1.502857,1.421429,1.470714,81222400,1.288389
"320",2001-04-09,1.477857,1.524286,1.432857,1.467143,66645600,1.28526
"321",2001-04-10,1.492857,1.621429,1.484286,1.574286,114343600,1.37912
"322",2001-04-11,1.641429,1.642857,1.52,1.557143,83524000,1.364102
"323",2001-04-12,1.53,1.644286,1.510714,1.601429,74733400,1.402898
"324",2001-04-16,1.577857,1.6,1.49,1.531429,71306200,1.341576
"325",2001-04-17,1.514286,1.515,1.4,1.457143,171299800,1.2765
"326",2001-04-18,1.540714,1.72,1.505714,1.627857,275210600,1.42605
"327",2001-04-19,1.825,1.839286,1.685714,1.837143,468417600,1.609391
"328",2001-04-20,1.780714,1.830714,1.757143,1.788571,173350800,1.56684
"329",2001-04-23,1.738571,1.785714,1.714286,1.732143,135381400,1.517408
"330",2001-04-24,1.737857,1.767857,1.679286,1.716429,94284400,1.503641
"331",2001-04-25,1.729286,1.775714,1.683571,1.765714,82695200,1.546817
"332",2001-04-26,1.797857,1.864286,1.762857,1.763571,199924200,1.54494
"333",2001-04-27,1.8,1.877857,1.767857,1.871429,113253000,1.639426
"334",2001-04-30,1.907143,1.937143,1.776429,1.820714,123694200,1.594999
"335",2001-05-01,1.815,1.892857,1.8,1.852143,106813000,1.622531
"336",2001-05-02,1.881429,1.907143,1.84,1.899286,92131200,1.663829
"337",2001-05-03,1.855,1.875,1.766429,1.782857,75385800,1.561835
"338",2001-05-04,1.731429,1.846429,1.711429,1.839286,70263200,1.611268
"339",2001-05-07,1.83,1.84,1.774286,1.782857,69137600,1.561835
"340",2001-05-08,1.810714,1.817857,1.710714,1.755,78859200,1.537431
"341",2001-05-09,1.724286,1.753571,1.690714,1.712857,81222400,1.500513
"342",2001-05-10,1.729286,1.75,1.639286,1.642857,72244200,1.439191
"343",2001-05-11,1.643571,1.677857,1.625714,1.632143,50761200,1.429805
"344",2001-05-14,1.635,1.691429,1.625,1.663571,77305200,1.457337
"345",2001-05-15,1.669286,1.821429,1.645714,1.655714,59256400,1.450454
"346",2001-05-16,1.661429,1.75,1.632143,1.721429,80582600,1.508021
"347",2001-05-17,1.730714,1.737857,1.660714,1.682143,83029800,1.473606
"348",2001-05-18,1.668571,1.688571,1.651429,1.680714,39762800,1.472355
"349",2001-05-21,1.687857,1.707857,1.646429,1.682857,115249400,1.474232
"350",2001-05-22,1.714286,1.723571,1.671429,1.678571,103229000,1.470478
"351",2001-05-23,1.696429,1.696429,1.632857,1.659286,70260400,1.453583
"352",2001-05-24,1.663571,1.664286,1.615714,1.657143,67939200,1.451705
"353",2001-05-25,1.657143,1.663571,1.607143,1.625714,39685800,1.424173
"354",2001-05-29,1.594286,1.607143,1.486429,1.533571,128997400,1.343453
"355",2001-05-30,1.482857,1.482857,1.378571,1.412857,194269600,1.237704
"356",2001-05-31,1.414286,1.445714,1.392143,1.425,110723200,1.248342
"357",2001-06-01,1.437857,1.506429,1.427143,1.492143,114018800,1.30716
"358",2001-06-04,1.505714,1.507857,1.461429,1.475714,70480200,1.292769
